SMILES,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds
C(CNCCNCCNCCN)N ,-2.3273999999999972,189.307,5,5,10
Cl[Tl] ,0.3087,239.836,0,0,0
C[N+](C)(C)CC(CC(=O)O)O ,-0.4717999999999998,162.209,2,2,4
C(CC(=O)O)CN ,-0.19009999999999982,103.12100000000001,2,2,3
C(CC(=O)O)C(=O)CN ,-0.621,131.13099999999997,3,2,4
CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O ,-3.2878999999999983,240.208,7,6,5
CC(=O)[O-] ,-1.2438,59.044000000000004,2,0,0
CC(=O)OCC[N+](C)(C)C ,0.25570000000000004,146.21,2,0,3
N ,0.16199999999999998,17.031,1,1,0
C(CC(C(=O)O)N)CN=C(N)N ,-1.548099999999999,174.20399999999998,3,4,5
C[N+](C)(C)CC(=O)[O-] ,-1.5574999999999983,117.14799999999998,2,0,2
I ,0.6180000000000001,127.91199999999999,0,0,0
[Ca+2] ,-0.3808,40.078,0,0,0
C ,0.6361,16.043,0,0,0
C[N+](C)(C)CCO ,-0.3150999999999999,104.17299999999999,1,1,2
C(C(=O)O)C(CC(=O)O)(C(=O)O)O ,-1.2485,192.12300000000002,4,4,5
[Cl-] ,-2.996,35.453,0,0,0
C(C(C(C(C(CO)O)O)O)O)O ,-3.585399999999998,182.172,6,6,5
C(CCC(=O)O)CCN ,0.5901000000000001,131.17499999999998,2,2,5
CC(=O)NC(CS)C(=O)O ,-0.4945,163.198,3,3,3
C(CS(=O)(=O)O)S ,-0.19599999999999984,142.201,3,2,2
CC(C(=O)O)O ,-0.5482,90.07799999999999,2,2,1
CS(=O)C ,-0.005299999999999971,78.13600000000001,1,0,0
C(CO)N ,-1.0626,61.083999999999996,2,2,1
C(CC(=O)N)C(C(=O)O)N ,-1.336199999999999,146.146,3,3,4
C(C(=O)O)N ,-0.9702999999999999,75.06700000000001,2,2,1
C(C(CO)O)O ,-1.6681000000000001,92.09399999999998,3,3,2
C(=O)(O)O ,0.2224,62.02400000000001,1,2,0
[K+] ,-2.996,39.098,0,0,0
C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl ,0.4306999999999997,244.89100000000002,2,4,2
[Mg+2] ,-0.3808,24.305,0,0,0
[Na+] ,-2.996,22.99,0,0,0
N(=O)[O-] ,0.25060000000000004,46.005,3,0,0
N#[N+][O-] ,0.33728,44.013,2,0,0
