number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,,2023-09-12 23:34:44.698391,2023-09-12 23:34:45.366292,0 days 00:00:00.667901,0.9,8.991874102378254,3,88,8.305327384245071,8.442875812867799,1.0,FAIL
1,,2023-09-12 23:34:45.368809,2023-09-12 23:34:45.861315,0 days 00:00:00.492506,0.5,1.751766511258904,4,53,4.792309000666406,6.5526003362874725,0.8,FAIL
2,,2023-09-12 23:34:45.863315,2023-09-12 23:34:46.488067,0 days 00:00:00.624752,1.0,9.446874676131056,3,2,5.2188778516314995,9.922637803821027,0.6,FAIL
3,,2023-09-12 23:34:46.491071,2023-09-12 23:34:47.049497,0 days 00:00:00.558426,0.5,8.651095500582251,5,99,2.1182917818161204,9.562008006665772,0.6,FAIL
4,,2023-09-12 23:34:47.051498,2023-09-12 23:34:47.901090,0 days 00:00:00.849592,0.7,6.3611074908316905,3,8,2.506932783515761,6.486250943888333,0.8,FAIL
5,,2023-09-12 23:34:47.903090,2023-09-12 23:34:48.504221,0 days 00:00:00.601131,0.9,8.855665968332161,5,95,3.8990008955481668,4.5130589356388615,0.7,FAIL
6,,2023-09-12 23:34:48.505221,2023-09-12 23:34:49.011157,0 days 00:00:00.505936,0.7,6.215841426852025,5,3,2.449114992620375,1.683356819433627,0.7,FAIL
7,,2023-09-12 23:34:49.013157,2023-09-12 23:34:49.537955,0 days 00:00:00.524798,1.0,9.556288249196024,5,48,8.395742148310124,2.4088279145084064,0.8,FAIL
8,,2023-09-12 23:34:49.539956,2023-09-12 23:34:50.206377,0 days 00:00:00.666421,0.7,1.2170617753550372,6,94,9.311037754509707,4.101402270088722,0.7,FAIL
9,,2023-09-12 23:34:50.207882,2023-09-12 23:34:50.709458,0 days 00:00:00.501576,1.0,2.5419763636662767,4,41,7.5871017723429715,9.775077202726516,0.8,FAIL
10,,2023-09-12 23:34:50.710458,2023-09-12 23:34:51.132273,0 days 00:00:00.421815,0.7,5.654343189281161,3,21,7.445798301417401,8.144343121531472,0.7,FAIL
11,,2023-09-12 23:34:51.133273,2023-09-12 23:34:51.693575,0 days 00:00:00.560302,0.7,6.296968137233168,4,98,7.050237045241998,2.871865915656989,0.7,FAIL
12,,2023-09-12 23:34:51.695575,2023-09-12 23:34:52.195774,0 days 00:00:00.500199,0.5,5.862322045718983,6,28,9.946149418950885,5.272358852971331,0.6,FAIL
13,,2023-09-12 23:34:52.197774,2023-09-12 23:34:52.750179,0 days 00:00:00.552405,1.0,4.562721864689275,3,60,3.2680446140813055,3.5469813555434335,0.7,FAIL
14,,2023-09-12 23:34:52.752178,2023-09-12 23:34:53.317798,0 days 00:00:00.565620,0.5,5.222888406354329,4,90,6.35241029077191,9.771334727858541,0.8,FAIL
15,,2023-09-12 23:34:53.319813,2023-09-12 23:34:53.849220,0 days 00:00:00.529407,0.5,5.176927439767059,4,81,2.918484820515742,5.696063930749069,0.7,FAIL
16,,2023-09-12 23:34:53.851221,2023-09-12 23:34:54.483893,0 days 00:00:00.632672,1.0,3.0014613620154518,6,54,5.410785552748923,2.259322860673138,0.7,FAIL
17,,2023-09-12 23:34:54.485894,2023-09-12 23:34:55.039022,0 days 00:00:00.553128,0.5,7.552407888561516,4,84,1.2269477502042023,6.104196383954733,0.6,FAIL
18,,2023-09-12 23:34:55.040023,2023-09-12 23:34:55.572219,0 days 00:00:00.532196,0.7,6.36935027308226,6,78,5.397594444557159,1.2885384540782772,0.8,FAIL
19,,2023-09-12 23:34:55.574219,2023-09-12 23:34:56.079230,0 days 00:00:00.505011,1.0,1.7440242313103522,3,15,1.9555970310947646,6.194025055104285,0.7,FAIL
20,,2023-09-12 23:34:56.080232,2023-09-12 23:34:56.688960,0 days 00:00:00.608728,0.7,5.238081092836563,5,89,7.145738533732952,9.305621749539752,0.7,FAIL
21,,2023-09-12 23:34:56.689960,2023-09-12 23:34:57.171298,0 days 00:00:00.481338,0.7,3.3118459088203864,4,8,6.291375216416226,9.943460246777393,0.6,FAIL
22,,2023-09-12 23:34:57.172298,2023-09-12 23:34:57.708284,0 days 00:00:00.535986,0.7,3.1314682875304296,6,38,9.174887640989972,3.055837148421281,0.7,FAIL
23,,2023-09-12 23:34:57.710286,2023-09-12 23:34:58.295429,0 days 00:00:00.585143,0.9,3.51172117708641,5,92,4.761539444532227,8.691245993574833,0.6,FAIL
